"","x","y","layer"
"146",-123.2774773505,41.2017154069879,4
"147",-123.2747832605,41.2017154069879,3
"148",-123.2720891705,41.2017154069879,2
"149",-123.2693950805,41.2017154069879,2
"150",-123.2667009905,41.2017154069879,1
"151",-123.2640069005,41.2017154069879,1
"152",-123.2613128105,41.2017154069879,1
"153",-123.2586187205,41.2017154069879,3
"154",-123.2559246305,41.2017154069879,4
"155",-123.2532305405,41.2017154069879,2
"156",-123.2502670415,41.2017154069879,1
"157",-123.2475729515,41.2017154069879,2
"158",-123.2448788615,41.2017154069879,4
"159",-123.2421847715,41.2017154069879,4
"160",-123.2394906815,41.2017154069879,3
"161",-123.2367965915,41.2017154069879,2
"162",-123.2341025015,41.2017154069879,2
"163",-123.2314084115,41.2017154069879,2
"164",-123.2287143215,41.2017154069879,2
"165",-123.2260202315,41.2017154069879,1
"166",-123.2233261415,41.2017154069879,1
"167",-123.2206320515,41.2017154069879,1
"168",-123.2179379615,41.2017154069879,1
"169",-123.2152438715,41.2017154069879,1
"170",-123.2122803725,41.2017154069879,1
"171",-123.2095862825,41.2017154069879,1
"172",-123.2068921925,41.2017154069879,1
"173",-123.2041981025,41.2017154069879,1
"174",-123.2015040125,41.2017154069879,1
"175",-123.1988099225,41.2017154069879,1
"176",-123.1961158325,41.2017154069879,1
"177",-123.1934217425,41.2017154069879,1
"178",-123.1907276525,41.2017154069879,1
"179",-123.1880335625,41.2017154069879,1
"180",-123.1853394725,41.2017154069879,1
"181",-123.1826453825,41.2017154069879,1
"182",-123.1799512925,41.2017154069879,1
"183",-123.1769877935,41.2017154069879,1
"184",-123.1742937035,41.2017154069879,1
"185",-123.1715996135,41.2017154069879,1
"186",-123.1689055235,41.2017154069879,1
"187",-123.1662114335,41.2017154069879,1
"188",-123.1635173435,41.2017154069879,1
"189",-123.1608232535,41.2017154069879,1
"190",-123.1581291635,41.2017154069879,1
"191",-123.1554350735,41.2017154069879,1
"192",-123.1527409835,41.2017154069879,1
"193",-123.1500468935,41.2017154069879,1
"194",-123.1473528035,41.2017154069879,1
"195",-123.1446587135,41.2017154069879,1
"196",-123.1419646235,41.2017154069879,1
"197",-123.1390011245,41.2017154069879,1
"198",-123.1363070345,41.2017154069879,1
"199",-123.1336129445,41.2017154069879,1
"200",-123.1309188545,41.2017154069879,1
"201",-123.1282247645,41.2017154069879,1
"202",-123.1255306745,41.2017154069879,1
"203",-123.1228365845,41.2017154069879,1
"204",-123.1201424945,41.2017154069879,1
"205",-123.1174484045,41.2017154069879,1
"206",-123.1147543145,41.2017154069879,1
"207",-123.1120602245,41.2017154069879,1
"208",-123.1093661345,41.2017154069879,1
"209",-123.1066720445,41.2017154069879,1
"210",-123.1037085455,41.2017154069879,1
"211",-123.1010144555,41.2017154069879,1
"212",-123.0983203655,41.2017154069879,1
"213",-123.0956262755,41.2017154069879,1
"214",-123.0929321855,41.2017154069879,1
"215",-123.0902380955,41.2017154069879,1
"216",-123.0875440055,41.2017154069879,1
"217",-123.0848499155,41.2017154069879,1
"218",-123.0821558255,41.2017154069879,1
"219",-123.0794617355,41.2017154069879,1
"220",-123.0767676455,41.2017154069879,1
"221",-123.0740735555,41.2017154069879,1
"222",-123.0713794655,41.2017154069879,1
"223",-123.0686853755,41.2017154069879,1
"224",-123.0657218765,41.2017154069879,1
"225",-123.0630277865,41.2017154069879,1
"226",-123.0603336965,41.2017154069879,1
"227",-123.0576396065,41.2017154069879,1
"228",-123.0549455165,41.2017154069879,1
"229",-123.0522514265,41.2017154069879,1
"230",-123.0495573365,41.2017154069879,1
"231",-123.0468632465,41.2017154069879,1
"232",-123.0441691565,41.2017154069879,1
